source,target,interactions,movie
HAN,LUKE,4,Episode 5
HAN,CHEWBACCA,31,Episode 5
RIEEKAN,HAN,1,Episode 5
RIEEKAN,LEIA,3,Episode 5
HAN,LEIA,32,Episode 5
R2-D2,C-3PO,14,Episode 5
HAN,R2-D2,4,Episode 5
HAN,C-3PO,27,Episode 5
R2-D2,CHEWBACCA,14,Episode 5
C-3PO,CHEWBACCA,28,Episode 5
R2-D2,DERLIN,1,Episode 5
C-3PO,DERLIN,1,Episode 5
DERLIN,CHEWBACCA,1,Episode 5
HAN,OBI-WAN,1,Episode 5
OBI-WAN,LUKE,2,Episode 5
HAN,ZEV,1,Episode 5
R2-D2,LEIA,3,Episode 5
R2-D2,LUKE,15,Episode 5
LEIA,CHEWBACCA,31,Episode 5
LEIA,LUKE,1,Episode 5
LEIA,C-3PO,22,Episode 5
CHEWBACCA,LUKE,1,Episode 5
CHEWBACCA,C-3PO,6,Episode 5
LUKE,C-3PO,1,Episode 5
HAN,RIEEKAN,2,Episode 5
RIEEKAN,CHEWBACCA,1,Episode 5
RIEEKAN,C-3PO,1,Episode 5
LEIA,RIEEKAN,1,Episode 5
OZZEL,DARTH VADER,1,Episode 5
OZZEL,PIETT,2,Episode 5
DARTH VADER,PIETT,7,Episode 5
LUKE,CHEWBACCA,4,Episode 5
DARTH VADER,OZZEL,1,Episode 5
LEIA,DERLIN,1,Episode 5
DACK,LUKE,3,Episode 5
WEDGE,LUKE,2,Episode 5
WEDGE,JANSON,1,Episode 5
JANSON,WEDGE,1,Episode 5
ZEV,LUKE,1,Episode 5
WEDGE,R2-D2,1,Episode 5
NEEDA,DARTH VADER,1,Episode 5
NEEDA,PIETT,1,Episode 5
DARTH VADER,EMPEROR,1,Episode 5
R2-D2,YODA,5,Episode 5
YODA,LUKE,5,Episode 5
DARTH VADER,BOBA FETT,3,Episode 5
PIETT,BOBA FETT,1,Episode 5
HAN,LANDO,7,Episode 5
LEIA,LANDO,10,Episode 5
CHEWBACCA,LANDO,3,Episode 5
C-3PO,LANDO,6,Episode 5
LANDO,C-3PO,1,Episode 5
OBI-WAN,R2-D2,1,Episode 5
OBI-WAN,YODA,1,Episode 5
LANDO,CHEWBACCA,12,Episode 5
HAN,DARTH VADER,2,Episode 5
DARTH VADER,LANDO,4,Episode 5
LANDO,BOBA FETT,2,Episode 5
HAN,BOBA FETT,1,Episode 5
LEIA,DARTH VADER,1,Episode 5
LEIA,BOBA FETT,1,Episode 5
CHEWBACCA,DARTH VADER,1,Episode 5
CHEWBACCA,BOBA FETT,1,Episode 5
DARTH VADER,C-3PO,1,Episode 5
C-3PO,BOBA FETT,1,Episode 5
C-3PO,LEIA,1,Episode 5
DARTH VADER,LUKE,2,Episode 5
C-3PO,R2-D2,1,Episode 5
R2-D2,LANDO,1,Episode 5
LUKE,LANDO,2,Episode 5
