source,target,interactions,movie
NUTE GUNRAY,QUI-GON,1,Episode 1
PK-4,TC-14,1,Episode 1
TC-14,OBI-WAN,1,Episode 1
TC-14,QUI-GON,1,Episode 1
OBI-WAN,QUI-GON,26,Episode 1
NUTE GUNRAY,TC-14,1,Episode 1
NUTE GUNRAY,DOFINE,1,Episode 1
TC-14,DOFINE,1,Episode 1
NUTE GUNRAY,RUNE,8,Episode 1
TEY HOW,RUNE,2,Episode 1
NUTE GUNRAY,TEY HOW,1,Episode 1
SIO BIBBLE,CAPTAIN PANAKA,3,Episode 1
SIO BIBBLE,EMPEROR,1,Episode 1
CAPTAIN PANAKA,EMPEROR,2,Episode 1
JAR JAR,OBI-WAN,10,Episode 1
JAR JAR,QUI-GON,22,Episode 1
JAR JAR,TARPALS,2,Episode 1
JAR JAR,BOSS NASS,1,Episode 1
OBI-WAN,BOSS NASS,2,Episode 1
BOSS NASS,QUI-GON,2,Episode 1
NUTE GUNRAY,EMPEROR,5,Episode 1
EMPEROR,RUNE,3,Episode 1
SIO BIBBLE,NUTE GUNRAY,1,Episode 1
JAR JAR,SIO BIBBLE,1,Episode 1
JAR JAR,CAPTAIN PANAKA,5,Episode 1
SIO BIBBLE,QUI-GON,2,Episode 1
CAPTAIN PANAKA,QUI-GON,9,Episode 1
PADME,SIO BIBBLE,1,Episode 1
PADME,CAPTAIN PANAKA,6,Episode 1
PADME,QUI-GON,16,Episode 1
CAPTAIN PANAKA,OBI-WAN,7,Episode 1
CAPTAIN PANAKA,JAR JAR,2,Episode 1
CAPTAIN PANAKA,RIC OLIE,2,Episode 1
OBI-WAN,JAR JAR,2,Episode 1
OBI-WAN,RIC OLIE,2,Episode 1
JAR JAR,RIC OLIE,1,Episode 1
RIC OLIE,QUI-GON,2,Episode 1
R2-D2,CAPTAIN PANAKA,1,Episode 1
R2-D2,QUI-GON,3,Episode 1
JAR JAR,PADME,9,Episode 1
RIC OLIE,OBI-WAN,1,Episode 1
PADME,WATTO,2,Episode 1
PADME,ANAKIN,16,Episode 1
WATTO,ANAKIN,4,Episode 1
WATTO,QUI-GON,6,Episode 1
ANAKIN,QUI-GON,20,Episode 1
SEBULBA,JAR JAR,2,Episode 1
SEBULBA,PADME,2,Episode 1
SEBULBA,ANAKIN,2,Episode 1
SEBULBA,QUI-GON,2,Episode 1
JAR JAR,ANAKIN,7,Episode 1
PADME,JIRA,1,Episode 1
QUI-GON,ANAKIN,2,Episode 1
QUI-GON,JIRA,2,Episode 1
ANAKIN,JIRA,2,Episode 1
